gameId,Win_TOP,Win_JUG,Win_MID,Win_BOT,Win_SUP,Fail_TOP,Fail_JUG,Fail_MID,Fail_BOT,Fail_SUP
3024224807,150,20,157,29,161,75,203,7,110,43
3023602169,27,33,157,67,267,90,11,7,119,53
3022770407,13,107,157,202,412,81,11,131,222,101
3022037045,107,30,157,222,117,75,59,127,51,143
3021993304,39,254,45,222,99,23,5,517,51,412
3021963045,266,19,4,236,412,98,64,10,22,99
3021926029,30,20,91,145,143,84,113,157,21,89
3021674139,86,59,81,51,37,54,121,30,21,555
3021385958,41,104,8,145,412,10,141,517,67,99
3021373754,68,11,238,429,518,92,107,50,119,16
3020891169,24,59,245,21,143,107,120,238,8,16
3020509253,420,254,38,22,111,86,77,517,222,16
3019809595,24,30,157,236,555,58,11,50,67,25
3019769142,10,254,61,222,78,14,203,518,39,555
3023521317,266,9,131,157,267,24,60,8,498,497
3023494903,6,9,103,119,89,17,421,8,81,25
3023468402,92,141,84,51,267,31,9,157,145,53
3023461236,266,9,25,67,37,120,19,103,51,267
3023325256,86,72,114,18,12,85,9,157,145,16
3023266205,122,9,161,145,53,238,141,61,222,37
3021663944,120,11,142,222,555,245,9,39,119,63
3021565830,54,9,45,15,201,157,102,90,81,143
3021538299,120,203,8,81,63,62,9,238,51,117
3021197386,98,80,115,15,412,10,9,45,81,44
3019941105,75,9,91,18,412,67,106,84,157,99
3019887004,98,421,42,236,163,57,9,157,145,99
3019669477,31,9,1,67,16,6,421,55,222,12
3023434087,36,141,25,222,161,31,11,84,429,53
3019666111,122,76,101,222,143,98,24,55,21,25
3024064514,54,106,1,96,117,84,24,157,81,22
3024009694,157,19,8,81,53,105,421,13,22,143
3020717947,420,145,99,222,16,36,121,517,236,412
3020720357,10,72,157,51,412,17,254,7,222,201
3020646915,223,64,161,15,16,78,56,13,81,63
3019657814,78,120,55,67,25,133,19,245,51,43
3019531296,50,77,38,21,161,10,102,61,145,143
3024186846,75,254,143,110,117,86,421,42,15,74
3024011959,133,64,127,110,89,80,107,7,119,117
3023980694,74,104,245,145,101,58,59,157,81,40
3023749224,39,106,38,42,26,41,28,136,22,57
3023751831,54,64,74,51,518,23,80,90,67,432
3023336010,24,120,103,110,101,39,5,7,236,16
3023277742,48,78,127,202,63,122,86,55,110,53
3023260063,10,121,34,222,40,75,59,42,145,26
3023214778,23,24,55,15,3,420,120,45,145,26
3023185253,86,28,157,67,111,6,62,101,119,12
3023084932,516,59,103,110,412,6,29,61,81,89
3022338981,80,32,105,51,412,17,24,1,67,432
3022086290,516,120,99,67,63,420,30,91,51,37
3020396493,17,60,245,29,99,122,76,134,110,267
3020359694,14,20,26,110,412,122,64,45,51,16
3020322295,84,5,81,145,26,58,24,238,98,43
3020282308,120,518,141,110,101,92,59,8,222,555
3019865398,122,141,131,222,12,78,59,38,110,432
3019722368,86,102,157,110,37,36,32,25,21,267
3019656162,164,60,7,15,25,67,421,90,18,53
3019482496,23,120,61,21,223,112,102,157,67,12
3019363200,92,102,55,222,3,48,421,268,145,25
3023256568,68,75,142,119,45,17,59,25,202,99
3022207128,75,120,161,21,25,240,60,101,145,3
3021600664,41,120,103,67,44,86,31,238,222,99
3021575546,58,80,142,67,412,24,120,517,110,53
3021527946,17,59,101,67,99,8,154,134,202,555
3020036575,24,77,115,119,555,23,120,518,18,25
3019577461,86,120,238,67,117,126,59,103,51,40
3019524919,240,120,13,18,57,36,30,238,29,117
3019438400,106,120,238,21,26,54,24,103,81,89
3019396629,86,29,99,51,53,54,120,7,67,143
3019368752,23,141,127,51,223,2,5,112,67,63
3019361654,17,120,90,81,40,24,141,91,110,555
3023870952,24,33,99,67,45,31,59,13,145,555
3019744270,86,106,268,67,40,84,120,30,222,37
3019431968,8,427,38,222,117,14,203,7,202,201
3019396867,6,254,157,110,111,38,131,3,145,45
3024232588,24,102,1,81,201,75,80,91,15,37
3024194052,92,59,103,21,412,74,33,1,81,111
3023876979,114,141,1,81,21,6,517,103,236,25
3023858639,122,59,50,81,40,92,11,1,145,12
3023840241,75,11,1,81,412,6,59,8,202,89
3023788971,6,254,99,67,16,75,59,1,22,412
3023763688,58,35,84,202,412,107,59,1,145,37
3023581279,133,11,1,145,37,126,141,45,222,16
3023191300,78,203,101,236,201,86,427,1,81,267
3023155607,86,2,1,22,44,98,59,161,110,117
3023138863,6,141,1,45,12,39,60,26,81,516
3023126368,75,32,245,202,40,86,107,1,22,12
3022095331,17,32,1,145,555,122,62,45,202,44
3021145703,84,421,157,119,143,62,59,101,21,99
3021127701,75,254,99,498,89,92,141,115,145,43
3021077440,75,141,55,67,16,86,254,143,145,40
3021039062,58,32,112,236,25,24,421,143,51,17
3020746339,23,120,25,222,89,68,20,90,81,201
3020721372,23,121,50,51,89,43,64,8,236,143
3020149200,36,6,103,145,89,86,77,99,236,412
3020037127,10,64,115,498,12,14,421,238,145,89
3020011670,75,421,518,236,98,86,11,74,498,99
3019994678,516,121,517,202,161,126,120,99,145,25
3019963026,67,77,74,18,267,6,35,238,236,497
3019942092,6,11,17,202,53,75,141,99,498,497
3019886073,75,33,55,222,26,85,60,64,110,99
3019855869,82,62,245,202,161,114,107,143,67,555
3019834185,39,59,25,222,99,150,11,50,67,117
3019722899,27,120,25,222,99,420,11,8,145,35
3019694732,86,107,112,498,497,58,120,25,81,99
3024088661,17,107,268,145,16,122,59,43,67,40
3024069866,122,107,84,110,9,67,121,8,202,143
3024053286,78,29,238,81,201,157,120,103,67,117
3023846338,122,64,4,202,143,126,59,63,67,555
3023807975,86,421,161,67,267,126,64,38,202,412
3023571961,58,141,238,110,99,80,113,517,145,412
3023570163,122,141,43,44,37,84,121,26,81,21
3023243086,122,56,90,202,111,85,121,103,119,267
3022588795,150,254,101,145,37,122,421,34,18,44
3022581768,157,20,115,81,99,86,102,74,202,26
3022209374,122,56,13,51,40,84,141,99,236,25
3022164633,122,245,84,202,99,24,9,67,22,117
3021853235,122,20,127,67,26,11,28,103,145,201
3021696152,58,121,91,81,63,31,141,105,236,412
3021316836,157,33,91,119,45,92,11,161,145,201
3021092544,24,28,99,498,201,92,64,7,81,412
3020519261,2,35,131,67,497,122,121,134,81,53
3020443746,122,64,238,18,99,58,59,161,51,25
3020416889,266,141,45,21,25,122,64,4,67,223
3020088219,92,59,55,236,53,85,203,61,81,142
3020072257,23,105,80,145,59,58,77,34,81,99
3023845378,92,11,13,67,161,10,64,103,81,16
3023666781,36,254,161,81,412,92,79,238,222,53
3023549951,120,141,157,145,54,84,75,39,15,37
3023526035,39,56,7,18,53,84,120,50,67,117
3023500683,17,421,517,236,43,92,35,238,222,53
3023464783,54,11,74,51,43,39,421,103,222,63
3023437029,114,19,101,222,16,74,141,127,51,53
3023396864,92,11,39,51,25,114,48,101,145,9
3023366606,92,120,518,21,117,84,64,127,236,25
3023293332,85,64,84,45,81,68,102,157,202,99
3023201765,24,28,31,236,53,27,64,34,81,412
3023184738,150,59,268,202,101,85,6,69,222,117
3023169349,24,11,7,222,412,92,113,518,145,99
3023164990,150,77,42,67,117,8,24,157,222,111
3023160083,122,62,157,15,3,266,11,99,81,161
3022666937,75,33,79,22,412,240,11,238,145,201
3022672058,24,32,13,222,267,517,64,38,22,161
3022372992,86,11,50,202,161,24,81,105,145,54
3022331565,39,36,163,222,25,17,24,103,21,412
3022211479,41,11,143,22,201,2,29,103,81,117
3022203696,120,11,90,157,412,78,64,13,236,53
3022149026,240,203,61,145,53,75,77,518,81,555
3022142934,24,33,518,222,53,41,11,238,96,44
3021947876,67,427,101,22,53,126,64,245,145,518
3021954885,19,11,101,81,267,13,20,131,51,80
3021927676,164,64,91,96,412,17,121,238,202,12
3021909659,6,141,1,236,412,58,11,99,67,37
3021749574,92,11,34,81,161,2,121,90,222,16
3021668319,50,120,238,222,63,24,64,84,29,117
3021392832,84,120,99,81,101,17,33,103,22,12
3021321962,86,24,55,145,99,36,2,112,498,111
3021296358,80,2,25,498,90,13,254,105,202,99
3021239539,10,30,103,222,555,36,11,38,518,63
3021133680,131,121,238,22,412,25,59,8,51,43
3021122544,75,120,8,236,78,122,64,517,51,79
3020503670,78,59,38,15,89,114,64,45,145,53
3020448792,80,28,90,145,89,92,203,268,81,201
3020367182,86,254,127,145,111,24,141,105,81,16
3020328093,68,59,61,81,143,17,24,157,202,10
3020310216,2,59,103,29,63,3,56,84,67,40
3020259482,92,141,61,22,16,6,59,10,202,37
3020123315,14,59,105,22,43,164,24,142,81,412
3019790311,6,56,103,21,25,266,28,8,81,117
3019695732,240,59,99,145,432,31,64,90,21,412
3019638415,40,64,31,67,16,50,157,80,51,201
3019547221,223,254,238,222,37,122,80,45,81,161
3019510700,122,64,91,15,99,68,254,238,222,555
3019462149,10,20,58,145,143,75,141,91,222,37
3024118702,80,24,1,22,412,58,64,69,67,111
3024106873,80,32,45,22,111,62,5,103,145,99
3024085444,6,92,85,18,111,518,141,103,119,412
3024069669,114,64,90,429,111,54,29,157,21,412
3024029381,6,20,55,15,111,58,120,136,145,37
3024011251,78,48,61,67,111,86,113,55,119,555
3023943572,75,77,117,236,63,240,141,268,429,111
3023911934,86,421,161,67,412,150,76,115,51,89
3023869763,86,120,55,429,3,122,28,105,67,111
3023840130,75,517,115,222,555,420,78,103,429,111
3023266872,86,11,3,51,555,58,106,161,222,117
3023247223,164,11,39,429,3,58,64,238,51,412
3021541022,83,203,39,222,412,41,32,238,145,161
3021510351,30,203,99,222,37,80,20,103,67,16
3021467998,75,11,90,51,412,84,20,99,29,26
3021449490,24,28,99,67,89,80,20,157,21,412
3021434693,41,421,142,222,555,79,120,101,67,267
3021382998,114,62,34,67,143,82,28,115,51,89
3021354511,122,35,238,21,267,84,102,103,22,111
3021269134,24,254,55,81,40,41,80,245,236,111
3021223346,41,11,142,429,201,86,120,42,67,3
3021192364,54,254,55,51,267,39,35,13,236,555
3021173061,107,141,238,236,45,24,72,91,22,26
3021101479,6,111,50,96,267,11,33,81,67,99
3021045048,86,77,50,145,16,58,59,25,18,267
3020320607,112,76,63,81,412,157,141,99,222,267
3020238254,41,9,105,15,412,266,20,99,18,16
3020199913,10,33,43,236,37,41,120,99,81,26
3020162485,58,107,55,145,555,164,64,42,236,63
3019985396,17,33,518,119,25,23,59,238,67,161
3019969280,85,104,238,145,53,78,56,79,81,17
3019777665,92,104,25,51,412,39,164,74,67,40
3019773812,84,141,555,236,99,145,59,91,67,201
3019768355,39,203,85,236,111,86,120,161,67,53
3019728211,6,5,101,145,44,114,80,84,67,111
3019693954,39,120,4,29,267,57,80,134,429,111
3019655688,107,59,101,429,111,31,254,4,67,99
3019643393,133,59,90,67,111,75,164,1,18,101
3019571199,24,59,163,22,412,6,33,238,15,111
3019363034,82,77,238,222,161,17,113,84,51,412
3022073875,516,254,1,81,101,24,11,74,145,143
3021401285,10,19,45,145,12,133,58,161,51,267
3021398549,10,19,157,67,267,54,60,41,429,40
3021396817,10,11,268,203,99,161,33,86,45,111
3020446574,254,113,45,51,117,48,203,90,67,16
3020383484,10,59,238,222,26,23,254,105,67,12
3020355725,126,254,91,67,25,85,64,157,51,117
3020304307,24,254,101,67,432,8,64,112,51,223
3020275872,10,120,25,222,16,86,254,84,145,555
3019964267,240,254,142,67,25,58,56,161,21,37
3023518670,133,77,26,18,1,92,59,63,81,89
3023362231,41,56,55,67,412,6,421,63,145,117
3022124172,10,77,63,51,25,240,28,238,119,432
3022077137,24,32,63,110,3,75,5,4,119,45
3021421474,266,60,157,18,53,10,11,55,67,267
3021401346,266,64,103,236,89,92,59,41,81,37
3021289044,92,120,101,236,518,114,245,63,21,99
3023698579,75,120,105,145,25,58,59,43,110,555
3023702659,80,120,13,67,37,75,113,99,145,555
3023677585,420,11,555,145,143,39,64,7,22,26
3023517081,17,141,56,145,44,62,120,8,21,63
3023523438,17,5,131,222,111,420,517,39,29,201
3023454596,18,64,142,51,89,420,11,39,145,53
3023425636,86,120,101,145,267,14,64,103,21,143
3023404702,17,11,101,202,16,516,133,38,145,9
3023365450,150,77,45,222,99,516,29,115,145,412
3023327946,17,20,61,145,412,78,24,90,51,53
3023292399,236,32,91,145,63,86,11,245,67,3
3023263235,114,120,101,51,143,10,141,145,202,267
3023234660,91,203,25,81,143,39,121,84,145,161
3023175440,10,64,99,145,16,6,141,8,236,161
3023169429,84,141,34,145,412,75,59,105,222,555
3022672342,6,24,238,15,412,58,11,13,145,40
3022587205,420,203,8,145,111,75,141,42,18,63
3022483498,6,11,99,22,412,17,254,61,145,60
3022389069,67,59,161,145,53,223,141,268,222,143
3022238042,420,24,13,222,37,120,141,7,22,99
3022229893,517,24,84,29,143,420,120,157,21,16
3022191450,164,141,245,222,432,157,19,63,145,26
3022139642,92,203,245,21,143,24,64,38,145,555
3022131546,85,59,68,110,555,122,120,39,145,99
3021885412,122,60,238,202,9,39,421,8,145,25
3021877324,31,5,91,22,63,150,81,1,145,26
3021823567,16,9,91,67,40,58,77,13,145,555
3021326759,92,24,134,18,53,86,64,103,145,25
3021181185,75,254,42,202,25,83,11,8,145,555
3021087393,92,35,1,119,412,24,120,245,145,53
3021065035,85,79,238,145,267,6,104,84,15,555
3020921257,85,59,31,67,201,23,121,8,145,26
3020339082,157,33,105,498,40,420,24,13,145,267
3020298559,24,254,127,145,25,80,120,142,51,223
3020246848,8,141,238,145,40,6,421,84,96,89
3020216830,85,2,4,429,3,80,141,101,145,267
3020169566,23,59,101,110,99,10,24,134,145,45
3020137357,86,72,105,145,412,122,154,112,18,44
3020128495,92,9,145,67,89,36,64,45,202,143
3019987524,23,77,61,145,267,57,120,131,222,53
3019709877,517,33,157,145,117,114,5,161,236,412
3019682512,68,254,56,145,99,6,421,61,202,432
3019493627,86,35,105,202,40,150,421,157,145,16
